state,year,assets,liabilities,debt,fundedRatio,changeInFundedRatio,fundedRank,arc,actual,shortfall,percentPaid
Mississippi,2013,20928447.00,36343989.00,15415542.00,0.58,0.00,45.00,915228.00,915735.00,-507.00,1.00
Missouri,2013,45335949.00,59188742.00,13852794.00,0.77,-0.01,18.00,1162244.00,1299098.00,-136854.00,1.12
Montana,2013,8257429.00,11269421.00,3011992.00,0.73,0.09,22.00,240947.00,201071.00,39876.00,0.84
Nebraska,2013,9581947.00,11983123.00,2401176.00,0.80,0.01,14.00,282822.00,242576.00,40247.00,0.86
Nevada,2013,29186234.00,42092185.00,12905950.00,0.69,-0.02,25.00,1523801.00,1316485.00,207316.00,0.86
New Hampshire,2013,6112228.00,10780075.00,4667846.00,0.57,0.01,46.00,254249.00,254249.00,0.00,1.00
New Jersey,2013,86122541.00,137147257.00,51024716.00,0.63,-0.02,35.00,5668971.00,2671410.00,2997561.00,0.47
New Mexico,2013,22459639.00,33680797.00,11221159.00,0.67,0.04,28.00,1014521.00,592259.00,422263.00,0.58
New York,2013,155285000.00,175131000.00,19846000.00,0.89,0.01,6.00,5336045.00,5336045.00,0.00,1.00
North Carolina,2013,84912602.00,88494411.00,3581808.00,0.96,0.01,3.00,1468069.00,1512944.00,-44875.00,1.03
North Dakota,2013,3570622.00,5851539.00,2280917.00,0.61,-0.02,39.00,152572.00,109786.00,42786.00,0.72
Ohio,2013,134600932.00,181908636.00,47307704.00,0.74,0.07,21.00,4563153.00,2978941.00,1584212.00,0.65
Oklahoma,2013,22608163.00,33992133.00,11383970.00,0.67,0.02,29.00,1171200.00,1179148.00,-7948.00,1.01
Oregon,2013,60014100.00,62593600.00,2579500.00,0.96,0.05,4.00,N/A,834162.00,N/A,N/A
Pennsylvania,2013,83328447.00,133826396.00,50497949.00,0.62,-0.02,36.00,4424724.00,2225811.00,2198913.00,0.50
Rhode Island,2013,6249402.00,10688726.00,4439324.00,0.59,0.00,43.00,319618.00,319618.00,0.00,1.00
South Carolina,2013,29882998.00,47254021.00,17371023.00,0.63,-0.02,34.00,1107583.00,1107583.00,0.00,1.00
South Dakota,2013,8857989.00,8865588.00,7598.00,1.00,0.07,1.00,101750.00,102376.00,-627.00,1.01
Tennessee,2013,39249318.00,41913433.00,2664115.00,0.94,0.02,5.00,1010425.00,1010425.00,0.00,1.00
Texas,2013,147626488.00,183517636.00,35891148.00,0.80,-0.02,12.00,3847129.00,2661753.00,1185376.00,0.69
Utah,2013,23405396.00,29171564.00,5766168.00,0.80,0.04,13.00,902264.00,902264.00,0.00,1.00
Vermont,2013,3468330.00,5009560.00,1541230.00,0.69,-0.01,26.00,111587.00,128470.00,-16883.00,1.15
Virginia,2013,54027587.00,82407426.00,28379839.00,0.66,0.00,31.00,2360273.00,1791478.00,568795.00,0.76
